Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
133,,Agonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as effect on testosterone induced luciferase activity at 1 nM to 10 uM after 18 hrs relative untreated control,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2162629
134,,Agonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as effect on testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2162630
135,,Agonist activity at wild type human recombinant androgen receptor assessed as induction of prostate specific antigen production in human LNCaP cells by ELISA,ELISA,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL1013147
136,,Agonist activity at wild-type androgen receptor (unknown origin) expressed in human LNCaP cells assessed as stimulation of PSA secretion into medium at 20 uM after 144 hrs by ELISA,SRB assay,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL3376784
137,,Agonist activity at wild-type human androgen receptor expressed in COS7 cells assessed as induction of gene expression at 10 nM to 10 uM after 24 hrs by luciferase reporter assay,luciferase reporter assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3376782
138,,Agonistic activity for androgen receptor up to 10 uM; Not active,Binding assay,Binding,assay format,Agonist,Homo sapiens,,CHEMBL654201
139,,Agonist activity to the human androgen receptor (hAR) in CV-1 cells,Cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL883248
140,,Agonistic efficacy against human androgen receptor,cotransfection assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL647869
141,,Agonist efficacy as percent inhibition of agonist binding to Human androgen receptor,cotransfection assay,Reporter gene,single protein format,Agonist,Homo sapiens,,CHEMBL647865
142,,Agonist efficacy as percent inhibition of progesterone against human androgen receptor(hAR),cotransfection assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL647864
143,,Agonist efficacy at human androgen receptor by luciferase reporter gene assay relative to DHT,luciferase reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL896866
144,,Androgen antagonistic activity as inhibitory concentration against testosterone-induced SC-3 cell proliferation,Cell proliferation assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL873543
145,,Androgenic activity as percent increase in rat ventral prostate (castrated immature rat) weight caused by 100 mg/kg per day x 10 oral dose,In vivo,In vivo,organism-based format,other,Rattus norvegicus,,CHEMBL786071
146,,Androgenic activity at AR in human LAPC4 cells assessed as cell growth at 0.1 uM after 3 days by MTS method relative to control,MTS method,Cell proliferation,cell-based format,other,Homo sapiens,,CHEMBL4007100
147,,Androgenic activity at AR in human LAPC4 cells assessed as cell growth at 0.5 uM after 3 days by MTS method relative to control,MTS method,Cell proliferation,cell-based format,other,Homo sapiens,,CHEMBL4007101
148,,Androgenic activity at AR in human LAPC4 cells assessed as cell growth at 1 uM after 3 days by MTS method relative to control,MTS method,Cell proliferation,cell-based format,other,Homo sapiens,,CHEMBL4007102
149,,Androgenic activity at AR in human LAPC4 cells assessed as cell growth at 10 nM after 3 days by MTS method relative to control,MTS method,Cell proliferation,cell-based format,other,Homo sapiens,,CHEMBL4007103
150,,Androgenic activity at human androgen receptor expressed in African green monkey CV-1 cells assessed as increase in interaction between VP16-fused AR-NTD and GAL4-fused AR-LBD after 17 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL4040336
151,,Anogenital distance in Fetal Feminization test in rats after 50 mg/animal oral dose,In vivo,In vivo,assay format,other,Rattus norvegicus,,CHEMBL776949
152,,Antiandrogenic activity after peroral administration as relative potency compared to Spironolactone,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL791641
153,,Antiandrogenic activity after subcutaneous administration as relative potency compared to Spironolactone,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL791642
154,,Antagonist activity against the Androgen Receptor (AR),cotransfection assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL648077
155,,Antagonist activity against androgen receptor (unknown origin),Cell proliferation assay,Cell proliferation,single protein format,antagonist,Homo sapiens,,CHEMBL3788113
156,,Antagonist activity against androgen receptor expressed in CHOK1 cells after 10 to 30 mins by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2188773
157,,Antiandrogen activity against androgen receptor in androgen-dependent mouse SC3 cells assessed as inhibition of testosterone-induced cell proliferation by WST1 assay,WST1 assay,Cell proliferation,cell-based format,Antagonist,Mus musculus,,CHEMBL1273733
158,,Antagonistic activity against Androgen receptor in DU-145 human prostate cancer cells,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648253
159,,Antagonistic activity against Androgen receptor in PC-3 human prostate cancer cells,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648254
160,,Antagonist activity at human AR,Cotransfection assay,Reporter gene,assay format,Antagonist,Homo sapiens,,CHEMBL891113
161,,Antagonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL930491
162,,Antagonist activity at human androgen receptor by cell based assay,cell based assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL1833027
163,,Antagonist activity at human androgen receptor by luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Antagonist,Homo sapiens,,CHEMBL896867
164,,Antagonist activity against Human Androgen receptor expressed in CV-1 cells,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648079
165,,Antagonist activity against human androgen receptor expressed in human MDA-MB-453 cells assessed as inhibition of dihydrotestosterone-induced effect by luciferase receptor gene assay,Competitive Binding Assay,Reporter gene,Other,Antagonist,Homo sapiens,,CHEMBL1032460
166,,Antagonist activity against human androgen receptor in CV1 cells measured as inhibition of DHT-stimulated luciferase reporter gene activity by cotransfection assay,Competitive Binding Assay,Reporter gene,Other,Antagonist,Homo sapiens,,CHEMBL911188
167,,Antagonist activity against human androgen receptor in CV1 cells measured as percent of maximal inhibition of DHT-stimulated luciferase reporter gene activity by cotransfection assay,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL911189
168,,Antagonistic activity against human androgen receptor (hAR) cotransfection assay in CV-1 cells expressed as percentage efficacy of maximal inhibition of dihydrotestosterone,Cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL651962
169,,Antagonistic activity against human androgen receptor (hAR) in co-transfected CV-1 cells.,Cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648072
170,,Antagonistic activity against human androgen receptor (hAR) in CV-1 cells,Cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL651963
171,,Antagonistic activity against human androgen receptor (hAR) in CV-1 cells using cotransfection assay,Cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648070
172,,Antagonistic activity against human androgen receptor (hAR) in CV-1 cells was determined as a function of maximal inhibition of dihydrotestosterone using cotransfection assay,Cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL648251
173,,Antiandrogenic activity against human LNCaP cell line by AR transactivation assay,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867859
174,,Antiandrogenic activity against human LNCaP cell line by AR transactivation assay in presence of dehydrotestosterone at 3 uM,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867856
175,,Antiandrogenic activity against human LNCaP cell line by AR transactivation assay in presence of dehydrotestosterone at 5 uM,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867855
176,,Antiandrogenic activity against human PC3 cell line transfected with wild-type AR by AR transactivation assay,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867858
177,,Antiandrogenic activity against human PC3 cell line transfected with wild-type AR by AR transactivation assay in presence of dehydrotestosterone at 3 uM,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867861
178,,Antiandrogenic activity against human PC3 cell line transfected with wild-type AR by AR transactivation assay in presence of dehydrotestosterone at 5 uM,AR transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL867860
179,,Antagonist activity against mouse androgen receptor assessed as reduction of 10 nM DHT-induced transcriptional activity at 10 uM after 24 hrs by cell-based luciferase reporter gene assay relative to control,cell-based luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Mus musculus,,CHEMBL2341006
180,,Antagonist activity against pSG5-tagged human androgen receptor expressed in COS1 cells assessed as receptor-mediated testosterone-induced transcriptional activity at 10 uM by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay (Rvb = 100 +/- 5.7%),firefly luciferase reporter assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3411795
181,,Antagonist activity against pSG5-tagged human androgen receptor expressed in COS1 cells assessed as reduction in receptor-mediated transcriptional activity by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay,firefly luciferase reporter assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3411793
182,,Antagonist activity against rat AR transfected in mouse C2C12 cells by luciferase reporter transactivation assay relative to DHT,Competitive Binding Assay,Reporter gene,Other,Antagonist,Rattus norvegicus,,CHEMBL913355
183,,Antagonist activity against steroid Androgen receptor,Competitive Binding Assay,Reporter gene,Other,Antagonist,Homo sapiens,,CHEMBL651957
184,,Antiandrogenic activity as effective dose administered subcutaneously in rat,In vivo,In vivo,assay format,Antagonist,Rattus norvegicus,,CHEMBL845311
185,,Antiandrogenic activity as prostate weight after subcutaneous administration compared to Spironolactone,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL791643
186,,Antiandrogenic activity as seminal vesicle weight after subcutaneous administration compared to Spironolactone,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL791644
187,,Antiandrogenic activity as weight of prostate after subcutaneous administration at 16 mg/day dose,In vivo,In vivo,organism-based format,Antagonist,Rattus norvegicus,,CHEMBL794818
188,,Antagonist activity at androgen receptor (unknown origin),Biological assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL3592212
189,,Antagonist activity at AR (unknown origin) by cell based GAL4 reporter gene assay,GAL4 reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4137972
190,,Antagonist activity at androgen receptor (unknown origin) by Gal4-based cellular assay,Gal4-based cellular assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL3266005
191,,Antagonist activity at androgen receptor (unknown origin) by NH Pro assay,Cell proliferation,Cell proliferation,single protein format,Antagonist,Homo sapiens,,CHEMBL2411351
192,,Antagonist activity at AR (unknown origin) by TR-FRET assay,TR-FRET assay,Binding,single protein format,Antagonist,Homo sapiens,,CHEMBL4137992
193,,Antagonist activity at androgen receptor (unknown origin) expressed in African green monkey COS7 cells assessed as inhibition of R1881-induced protein activation at 10 uM after 24 hrs by luciferase reporter gene assay relative to control,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4141637
194,,Antagonist activity at AR (unknown origin) expressed in African green monkey COS7 cells at 7.5 uM after 24 hrs by dual luciferase reporter gene assay,dual luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4025746
